Subject,Start,End,Duration
Commute,Tue 10/04/2018 11:15 AM,Tue 10/04/2018 12:00 PM,45 minutes
Nicole : Mutaz ,Tue 10/04/2018 12:00 PM,Tue 10/04/2018 1:00 PM,1 hour
AstraZeneca ,Tue 10/04/2018 1:00 PM,Tue 10/04/2018 2:00 PM,1 hour
Fonterra Status Report and project finalisation,Tue 10/04/2018 2:00 PM,Tue 10/04/2018 2:30 PM,30 minutes
Planning the workshops for Transpower,Tue 10/04/2018 3:00 PM,Tue 10/04/2018 3:30 PM,30 minutes
Internal sync - KPMG ref. architecture engagement,Tue 10/04/2018 4:00 PM,Tue 10/04/2018 4:30 PM,30 minutes
Data Science for Innovation - Wrk,Tue 10/04/2018 6:00 PM,Tue 10/04/2018 9:00 PM,3 hours
WW Retailers Community Call - April 2018,Wed 11/04/2018 1:00 AM,Wed 11/04/2018 2:00 AM,1 hour
AZ deck final,Wed 11/04/2018 10:00 AM,Wed 11/04/2018 11:30 AM,1.5 hours
"Canceled: Announcing Microsoft Business Forward - Melbourne April 11, 2018",Wed 11/04/2018 12:00 PM,Wed 11/04/2018 1:00 PM,1 hour
Commute,Wed 11/04/2018 4:00 PM,Wed 11/04/2018 5:00 PM,1 hour
"How to Paraphrase, Summarise and Quote in your Assignments",Wed 11/04/2018 5:00 PM,Wed 11/04/2018 6:30 PM,1.5 hours
Office Hours call for Reserved VM Instances,Thu 12/04/2018 1:00 AM,Thu 12/04/2018 2:00 AM,1 hour
CompassOne GDPR/Ethics/InfoSec Risk Questionnaire | Drop-in Call (Session 1: America / EMEA),Thu 12/04/2018 2:00 AM,Thu 12/04/2018 2:30 AM,30 minutes
DAS Delivery Excellence Insights Call - April (P10FY18),Thu 12/04/2018 11:00 AM,Thu 12/04/2018 12:00 PM,1 hour
Canceled:  7-Q2VI7QBZP Queensland Health,Thu 12/04/2018 12:00 PM,Thu 12/04/2018 12:30 PM,30 minutes
AstraZeneca BE Deck Review (meeting room details),Thu 12/04/2018 2:30 PM,Thu 12/04/2018 3:30 PM,1 hour
Canceled: Fonterra deliverables status,Thu 12/04/2018 4:30 PM,Thu 12/04/2018 5:00 PM,30 minutes
Content ,Fri 13/04/2018 10:00 AM,Fri 13/04/2018 12:00 PM,2 hours
How to Edit and Proofread your Assignments,Fri 13/04/2018 1:00 PM,Fri 13/04/2018 2:30 PM,1.5 hours
FW: Digital Transformation Status Update,Fri 13/04/2018 2:00 PM,Fri 13/04/2018 3:00 PM,1 hour
Joe:Mutaz,Fri 13/04/2018 2:30 PM,Fri 13/04/2018 3:30 PM,1 hour
CompassOne GDPR/Ethics/InfoSec Risk Questionnaire | Drop-in Call (Session 2: Asia / EMEA),Fri 13/04/2018 4:00 PM,Fri 13/04/2018 4:30 PM,30 minutes
DSI - Task 1 due,Sun 15/04/2018 2:00 PM,Sun 15/04/2018 8:00 PM,6 hours
DFSI BRD Azure Bot Opportunity,Mon 16/04/2018 4:30 PM,Mon 16/04/2018 5:00 PM,30 minutes
Move parking ,Tue 17/04/2018 11:15 AM,Tue 17/04/2018 11:45 AM,30 minutes
Walkthrough on the AZ BE deck  for MA domain,Tue 17/04/2018 11:30 AM,Tue 17/04/2018 12:00 PM,30 minutes
Haneesha:Mutaz - AZ estimates,Tue 17/04/2018 2:00 PM,Tue 17/04/2018 2:30 PM,30 minutes
Walkthru on AZ BE deck,Tue 17/04/2018 2:00 PM,Tue 17/04/2018 2:30 PM,30 minutes
Nik:Mutaz - AZ estimates,Tue 17/04/2018 2:30 PM,Tue 17/04/2018 3:00 PM,30 minutes
Ramine:Mutaz - AZ estimates,Tue 17/04/2018 3:00 PM,Tue 17/04/2018 3:30 PM,30 minutes
Commute,Tue 17/04/2018 4:30 PM,Tue 17/04/2018 5:30 PM,1 hour
Prep,Tue 17/04/2018 5:30 PM,Tue 17/04/2018 6:00 PM,30 minutes
Data Science for Innovation - Wrk,Tue 17/04/2018 6:00 PM,Tue 17/04/2018 9:00 PM,3 hours
FW: WW Community: Ethics Call on GDPR,Wed 18/04/2018 12:00 AM,Wed 18/04/2018 1:00 AM,1 hour
CompassOne GDPR/Ethics/InfoSec Risk Questionnaire | Drop-in Call (Session 3: America / Asia),Wed 18/04/2018 10:30 AM,Wed 18/04/2018 11:00 AM,30 minutes
Canceled: DI domain approval for AZ,Wed 18/04/2018 4:30 PM,Wed 18/04/2018 5:00 PM,30 minutes
Earth Day Responsible Recycle Event-,Wed 18/04/2018 5:00 PM,Wed 18/04/2018 8:00 PM,3 hours
FW: Astra Zeneca BE review,Wed 18/04/2018 5:00 PM,Wed 18/04/2018 5:30 PM,30 minutes
BP TechSync April #2 - Drive Microsoft Stream Adoption (TECH125AL),Thu 19/04/2018 1:30 AM,Thu 19/04/2018 2:30 AM,1 hour
BP TechSync April #2 - Drive Microsoft Stream Adoption (TECH125AL),Thu 19/04/2018 1:30 AM,Thu 19/04/2018 2:30 AM,1 hour
BP TechSync April #2 - Drive Microsoft Stream Adoption (TECH125AL),Thu 19/04/2018 1:30 AM,Thu 19/04/2018 2:30 AM,1 hour
BP TechSync April #1 - SharePoint Framework Coding Deep Dive (TECH124AL),Thu 19/04/2018 3:00 AM,Thu 19/04/2018 4:00 AM,1 hour
DRB Meeting for 7-NUBGBSFGQ - AstraZeneca - FY19-SCVS-MCS-AstraZeneca-Optimising Manufacturing (8:00-8:30AM),Thu 19/04/2018 8:00 AM,Thu 19/04/2018 8:30 AM,30 minutes
DRB Meeting for 7-NUBGBSFGQ - AstraZeneca - FY19-SCVS-MCS-AstraZeneca-Optimising Manufacturing,Thu 19/04/2018 9:00 AM,Thu 19/04/2018 9:30 AM,30 minutes
AstraZeneca Dry Run,Thu 19/04/2018 12:30 PM,Thu 19/04/2018 2:30 PM,2 hours
DAM - Task 1 Part A,Thu 19/04/2018 2:00 PM,Thu 19/04/2018 8:00 PM,6 hours
DAM - Task 1 Part B,Thu 19/04/2018 2:00 PM,Thu 19/04/2018 8:00 PM,6 hours
[WWC Business Analytics]: Community Call (Field Edition) Power BI languages Episode 3 - DAX,Fri 20/04/2018 1:00 AM,Fri 20/04/2018 2:00 AM,1 hour
BP TechSync April #3 - SharePoint Online Hub Sites (TECH126AL),Fri 20/04/2018 3:30 AM,Fri 20/04/2018 4:30 AM,1 hour
CONFIRMED - Presentation of the draft budgetary Estimate for the 4 scenario,Fri 20/04/2018 12:00 PM,Fri 20/04/2018 2:00 PM,2 hours
April Australia Enterprise Services All Hands ,Fri 20/04/2018 3:00 PM,Fri 20/04/2018 4:30 PM,1.5 hours
Fonterra Schedule Optimisation - Sprint 6 Stabilisation and Handover discussion,Mon 23/04/2018 11:00 AM,Mon 23/04/2018 12:00 PM,1 hour
AstraZeneca - Prashant have spoken with Mutaz and we think it's good for us 3 to have a discussion today. I have also sent another invite for the broader team tomorrow,Mon 23/04/2018 1:00 PM,Mon 23/04/2018 2:00 PM,1 hour
"AstraZeneca BE - Discuss feedback from customer, what we need to do and agree on timing.",Tue 24/04/2018 11:30 AM,Tue 24/04/2018 12:30 PM,1 hour
FW: Confirmed: Meeting 24th April: Fonterra AOT:  Machine Learning Pilot Pwd Agg Validation Plan,Tue 24/04/2018 12:30 PM,Tue 24/04/2018 2:00 PM,1.5 hours
Help with DR4A resourcing,Tue 24/04/2018 2:30 PM,Tue 24/04/2018 3:00 PM,30 minutes
Align Fonterra pre-sales work,Tue 24/04/2018 3:30 PM,Tue 24/04/2018 4:00 PM,30 minutes
FW: ANZ Smart Spaces Implementation Phase Pursuit Planning,Tue 24/04/2018 4:00 PM,Tue 24/04/2018 4:30 PM,30 minutes
Anzac Day,Wed 25/04/2018 12:00 AM,Thu 26/04/2018 12:00 AM,1 day
FW: Implementing DevOps with VSTS and DevOps Projects,Wed 25/04/2018 2:00 AM,Wed 25/04/2018 3:00 AM,1 hour
Bi-weekly Data Insights APJ Drop-in call,Wed 25/04/2018 3:00 PM,Wed 25/04/2018 3:45 PM,45 minutes
[WWC Education] Digital Transformation for the digitally illiterate - the Sangam/Thinti story,Thu 26/04/2018 1:00 AM,Thu 26/04/2018 2:00 AM,1 hour
Cyber & Security Services Internal Readiness Session (Option 1/2) ,Thu 26/04/2018 9:30 AM,Thu 26/04/2018 11:00 AM,1.5 hours
Pursuit Plan follow up,Thu 26/04/2018 4:30 PM,Thu 26/04/2018 5:00 PM,30 minutes
WW Azure & OSS Community Call - Azure Performance,Fri 27/04/2018 1:00 AM,Fri 27/04/2018 2:00 AM,1 hour
WW Azure & OSS Community Call - Azure Performance,Fri 27/04/2018 1:00 AM,Fri 27/04/2018 2:00 AM,1 hour
DHS Bot phase: Sales to Delivery handover,Fri 27/04/2018 1:00 PM,Fri 27/04/2018 2:00 PM,1 hour
Cyber & Security Services Internal Readiness Session (Option 2/2) ,Fri 27/04/2018 2:00 PM,Fri 27/04/2018 3:30 PM,1.5 hours
FW: WW Integration and SAP Meeting - Logic Apps + SAP!,Sat 28/04/2018 3:00 AM,Sat 28/04/2018 4:00 AM,1 hour
One on One Meeting,Mon 30/04/2018 10:00 AM,Mon 30/04/2018 11:00 AM,1 hour
Res. Assigned - Australia and New Zealand Banking Group Limited | Analytics Request ID: 786985 | 7-PU56AUAQY,Mon 30/04/2018 10:00 AM,Sat 30/06/2018 10:00 AM,61 days
FW: Weekly Data and AI - Australia Interlock Meeting,Mon 30/04/2018 11:00 AM,Mon 30/04/2018 11:45 AM,45 minutes
DSI AT2,Mon 30/04/2018 3:30 PM,Mon 30/04/2018 4:30 PM,1 hour
GEM Modern Apps Stream Sync,Mon 30/04/2018 5:00 PM,Mon 30/04/2018 6:00 PM,1 hour
